年份,交易价格,福田区,罗湖区,盐田区,南山区,宝安区,龙岗区,龙华区,坪山区,光明新区,大鹏新区
1999,5004,6027,7394,3194,4390,3074,3033,,,,
2000,5275,6728,7200,4252,4540,3025,3718,,,,
2001,5517,6465,6408,4139,5709,2851,3402,,,,
2002,5641,7664,6496,5265,5639,3805,3522,,,,
2003,5879,7640,6866,6076,5778,3640,3485,,,,
2004,6419,7806,7789,9002,6499,4787,4447,,,,
2005,6996,8627,8135,7698,8502,5353,5353,,,,
2006,9190,13803,9988,9454,12119,8297,6423,,,,
2007,13370,18441,16946,14178,18008,12212,10478,,,,
2008,12823,16876,16891,24995,17050,11652,9112,,,,
2009,14858,23216,22607,25366,19636,13726,9626,,,,
2010,20297,29248,23470,40861,30840,19944,14166,,,,
2011,19038,29866,24656,19392,35370,17805,14705,,,,
2012,18848,29958,30319,23254,34401,18028,13942,,,,
2013,21808,41439,36396,19485,42273,20947,17118,,,,
2014,23955,42445,42480,28253,41259,23747,18755,,,,
2015,33406,54461,48636,30498,56463,35841,27230,32835,16014,18791,17051
2016,53455,83292,64330,44606,82142,58745,40859,41850,30837,33833,27531
2017,54455,87377,75042,55230,101134,56960,37560,52737,32652,34774,37639
2018,54120,93803,72910,47589,92095,54052,44610,57787,26806,45290,37041
2019,54741,97256,69625,47300,95413,54605,44527,59862,35063,46014,30151
2020,52808,111987,79661,49534,94423,62642,43467,63154,37758,51954,30656
2021,61273,115312,89226,57231,107506,65478,44908,64195,40056,50883,33791
